1467351.43066765,940645.282663907,524191.434711957,236484.888615617
1996406.46835696,1293159.18789603,724952.878062926,326893.530777026
2360160.49091338,1551349.67421657,878734.622144112,397772.474144789
2606202.76257493,1730103.80622837,986290.561199329,446867.459111627
2756339.58103638,1839587.93230316,1051635.29288043,475714.761429047
2832058.90682526,1893580.76121947,1082837.03302653,488567.520031268
2848191.39846198,1903311.76246669,1086956.52173913,489093.221167955
2809778.02753582,1873009.92695261,1066552.90102389,478514.690400995
2712967.98697775,1798561.15107914,1019264.09132606,455539.358600583
2541942.0437214,1670564.65085199,939496.429913566,417379.69030427
2277904.32801822,1476886.72278836,821085.474997947,361493.691935076
1898974.55374098,1208313.19478009,661113.314822161,287240.765209399
1390627.17285496,877808.988764045,478904.267037019,209402.156842215

2510040.16064257,1667222.40746916,952108.921260592,433012.903784533
3571428.57142857,2436053.59317905,1420051.12184039,651168.848082308
4205214.46593776,2939447.38389183,1748863.23889472,810044.552450385
4582951.42071494,3249918.7520312,1955034.21309873,907852.927825692
4798464.49136276,3428179.63661296,2072109.40737671,960984.047664809
4904364.88474743,3514938.48857645,2127206.97723889,984058.25624877
4930966.46942801,3534817.95687522,2138122.7282446,987069.390978186
4885197.85051295,3494060.09783368,2109704.64135021,972668.028401906
4757373.92959087,3384094.75465313,2034174.12530513,935891.436593355
4516711.833785,3179650.23847377,1893222.26429383,866100.814134765
4111842.10526316,2842524.16145537,1663616.7027117,751314.800901578
3451846.73800483,2315886.98471515,1318739.28524331,582173.83710776
2391200.38259206,1563477.17323327,872905.027932961,383127.083253515

4210526.31578947,3067484.66257669,1908396.94656489,926011.667747014
6060606.06060606,4651162.79069767,3048780.48780488,1526018.61742713
6793478.26086957,5379236.14846692,3642987.24954463,1861504.09530901
7107320.54015636,5701254.27594071,3906250,2005213.55524363
7256894.04934688,5854800.93676815,4033884.63089956,2072109.40737671
7331378.29912023,5927682.27622999,4093327.87556283,2103491.79638199
7352941.17647059,5952380.95238095,4111842.10526316,2112824.8468202
7331378.29912023,5924170.61611374,4091653.02782324,2102165.23018709
7246376.8115942,5837711.61704612,4017677.78224186,2061855.67010309
7077140.83510262,5656108.59728507,3856536.82992673,1966568.33824975
6720430.10752688,5279831.04540655,3527336.86067019,1765848.49019954
5931198.10201661,4478280.34034931,2857142.85714286,1367614.87964989
4045307.4433657,2894356.00578871,1752848.37861525,815394.651011089

6863417.98215511,5868544.60093897,4460303.30062444,2688894.86421081
9033423.66757001,8097165.99190283,6531678.64141084,4118616.14497529
9380863.03939962,8532423.20819113,7037297.67769177,4549590.53685168
9478672.98578199,8658008.65800866,7183908.04597701,4679457.18296678
9523809.52380952,8710801.39372822,7246376.8115942,4732607.66682442
9541984.73282443,8733624.45414847,7272727.27272727,4759638.26749167
9551098.37631327,8741258.74125874,7288629.73760933,4770992.36641221
9541984.73282443,8741258.74125874,7283321.19446468,4768717.21506915
9523809.52380952,8718395.81517001,7256894.04934688,4750593.82422803
9487666.0341556,8665511.26516465,7199424.04607631,4701457.45181006
9380863.03939962,8525149.19011083,7032348.8045007,4553734.06193078
8976660.68222621,8000000,6385696.04086845,3946329.91318074
6711409.39597315,5672149.74475326,4233700.25402202,2485089.46322068
