1467351.43066765,940645.282663907,524383.848977452,236479.296237614
2241147.46750336,1399188.470687,764584.44835232,339974.161963691
2727768.68521549,1719690.45571797,946611.132146914,422779.351456475
3080714.72581639,1957330.20160501,1083188.90814558,485861.432319502
3312355.08446505,2115506.66384599,1176055.50982006,528513.292109297
3442340.79173838,2204585.53791887,1227596.36631476,552699.939203007
3483106.93138279,2232641.21455682,1245019.92031873,560443.871546265
3442340.79173838,2204585.53791887,1227596.36631476,552699.939203007
3312355.08446505,2115506.66384599,1176055.50982006,528513.292109297
3080714.72581639,1957330.20160501,1083188.90814558,485861.432319502
2727768.68521549,1719690.45571797,946611.132146914,422779.351456475
2241147.46750336,1399188.470687,764584.44835232,339974.161963691
1467351.43066765,940645.282663907,524383.848977452,236479.296237614

3012955.70955107,1927153.59414145,1075847.22969338,486902.327393125
5010020.04008016,3126954.34646654,1715560.13038257,767695.378473822
6313131.31313131,3972983.71076679,2193463.47883308,985124.61826421
7209805.33525595,4564125.96987677,2531645.56962025,1139731.02347846
7788161.99376947,4950495.04950495,2753303.96475771,1241464.92861577
8110300.081103,5167958.65633075,2878526.19458837,1299038.7113536
8216926.86935086,5235602.09424084,2918855.80852306,1317523.05665349
8110300.081103,5167958.65633075,2878526.19458837,1299038.7113536
7788161.99376947,4950495.04950495,2753303.96475771,1241464.92861577
7209805.33525595,4564125.96987677,2531645.56962025,1139731.02347846
6313131.31313131,3972983.71076679,2193463.47883308,985124.61826421
5010020.04008016,3126954.34646654,1715560.13038257,767695.378473822
3012955.70955107,1927153.59414145,1075847.22969338,486902.327393125

5750431.28234618,3961965.13470681,2364625.20690471,1130582.24985868
11560693.6416185,7698229.40723634,4474272.93064877,2101723.41319882
14430014.4300144,9794319.29480901,5787037.03703704,2748007.69442154
15974440.8945687,10952902.5191676,6531678.64141084,3115264.79750779
16835016.8350168,11600928.0742459,6949270.32661571,3325573.6614566
17271157.1675302,11947431.30227,7173601.14777618,3436426.11683849
17391304.3478261,12048192.7710843,7241129.61622013,3471017.00798334
17271157.1675302,11947431.30227,7173601.14777618,3436426.11683849
16835016.8350168,11600928.0742459,6949270.32661571,3325573.6614566
15974440.8945687,10952902.5191676,6531678.64141084,3115264.79750779
14430014.4300144,9794319.29480901,5787037.03703704,2748007.69442154
11560693.6416185,7698229.40723634,4474272.93064877,2101723.41319882
5750431.28234618,3961965.13470681,2364625.20690471,1130582.24985868

11299435.0282486,9124087.59124088,6493506.49350649,3695491.50036955
29850746.2686567,23584905.6603774,16474464.5799012,9250693.80203515
33557046.9798658,27247956.4032698,19569471.6242661,11248593.9257593
34843205.5749129,28490028.4900285,20618556.7010309,11961722.4880383
35335689.0459364,28985507.2463768,21052631.5789474,12269938.6503068
35587188.6120996,29239766.0818713,21276595.7446809,12406947.8908189
35587188.6120996,29325513.1964809,21321961.6204691,12453300.124533
35587188.6120996,29239766.0818713,21276595.7446809,12406947.8908189
35335689.0459364,28985507.2463768,21052631.5789474,12269938.6503068
34843205.5749129,28490028.4900285,20618556.7010309,11961722.4880383
33557046.9798658,27247956.4032698,19569471.6242661,11248593.9257593
29850746.2686567,23584905.6603774,16474464.5799012,9250693.80203515
11299435.0282486,9124087.59124088,6493506.49350649,3695491.50036955
